PID,Name,Vendor,AvailbleQuantity
0,Smart Product,HP,1682
1,Creative Device,Dell,2704
2,Efficient Platform,ASUS,2464
3,Advanced Device,Apple,4511
4,Advanced Tech,Acer,2007
5,Innovative Platform,Acer,3148
6,Revolutionary Device,ASUS,3165
7,Creative Tool,Apple,3449
8,Revolutionary Product,HP,1198
9,Modern Platform,Lenovo,1702
10,Smart Tool,Apple,4835
11,Modern Device,Lenovo,4442
12,Innovative Solution,Apple,2285
13,Smart Device,ASUS,1396
14,Sleek Software,Dell,3295
15,Smart Tool,Lenovo,3251
16,Revolutionary System,Apple,4823
17,Creative Solution,Dell,3626
18,Smart Tool,HP,1414
19,Advanced Solution,ASUS,3731
20,Dynamic Tool,Dell,3819
21,Intelligent Product,Lenovo,2438
22,Modern Tool,Apple,2703
23,Dynamic Tech,ASUS,3222
24,Efficient Solution,ASUS,4923
25,Efficient Solution,Apple,4169
26,Dynamic Product,Lenovo,2269
27,Dynamic System,Dell,2422
28,Dynamic Tech,HP,3305
29,Efficient Tech,Apple,3139
30,Innovative Software,Acer,4574
31,Dynamic Service,Dell,3247
32,Advanced Device,Dell,2067
33,Efficient Tool,Apple,4398
34,Smart Service,Apple,4538
35,Advanced Solution,ASUS,2218
36,Dynamic Tech,ASUS,2317
37,Sleek System,Acer,4943
38,Smart Product,Acer,1381
39,Dynamic Product,Dell,1063
40,Dynamic Product,Apple,4222
41,Dynamic System,Apple,4392
42,Advanced Tool,ASUS,4278
43,Sleek Product,HP,1403
44,Advanced Product,Lenovo,2598
45,Intelligent App,ASUS,1415
46,Creative Tool,Dell,1287
47,Creative System,Apple,3123
48,Intelligent Tech,Apple,2330
49,Dynamic Tech,Acer,4301
50,Innovative Tool,ASUS,4477
51,Smart Platform,ASUS,2885
52,Dynamic Software,Acer,2937
53,Modern Solution,Acer,4847
54,Innovative Product,Apple,1664
55,Smart Software,Acer,2742
56,Efficient Solution,Apple,3613
57,Advanced Device,Apple,1566
58,Innovative Service,HP,1457
59,Creative Product,ASUS,2667
60,Sleek Software,Acer,1071
61,Modern Service,ASUS,4373
62,Efficient System,ASUS,1478
63,Innovative Tool,Lenovo,1081
64,Dynamic Solution,Apple,3465
65,Smart Service,HP,2524
66,Advanced Tool,HP,1789
67,Efficient Software,Dell,4388
68,Innovative App,HP,1396
69,Smart Platform,Lenovo,4651
70,Revolutionary Service,Lenovo,3709
71,Innovative Software,HP,1347
72,Modern Software,HP,4314
73,Advanced App,Dell,4115
74,Smart System,ASUS,3196
75,Advanced Tool,Apple,3568
76,Revolutionary Software,Lenovo,3705
77,Revolutionary Tool,Dell,1327
78,Efficient Tech,Apple,3176
79,Revolutionary Tool,ASUS,3689
80,Creative Platform,Acer,2798
81,Advanced Tech,ASUS,3036
82,Intelligent Solution,HP,4316
83,Efficient Device,Dell,1164
84,Efficient Service,ASUS,2671
85,Advanced Device,Apple,4616
86,Innovative Solution,Lenovo,4667
87,Dynamic App,ASUS,2826
88,Sleek App,HP,4042
89,Efficient Device,Acer,3923
90,Dynamic Device,Apple,2559
91,Smart App,Acer,1410
92,Intelligent App,HP,2535
93,Modern App,Apple,3544
94,Dynamic Product,Apple,1858
95,Innovative Product,Apple,2073
96,Intelligent System,ASUS,1290
97,Creative App,Apple,2492
98,Dynamic Tool,Apple,2778
99,Efficient Software,Acer,4523
